OrderID,OrderDate,ShipmentDate,CustomerName,Category,Region,Channel,Quantity,UnitPrice,DiscountApplied,SalesAmount
1152,2024-07-27,2024-08-04,Customer_327,Electronics,West,Wholesale,15,271.72,True,3668.2200000000003
500,2024-02-23,2024-03-04,Customer_426,Electronics,North,Online,17,433.52,False,7369.84
1337,2022-04-27,2022-05-06,Customer_379,Electronics,East,Retail,6,434.97,False,2609.82
1033,2022-02-24,2022-03-02,Customer_381,Food,West,Wholesale,12,283.51,True,3061.908
281,2023-11-16,2023-11-19,Customer_208,Furniture,South,Retail,15,49.16,True,663.66
1659,2022-05-26,2022-06-01,Customer_237,Clothing,South,Wholesale,6,167.9,False,1007.4000000000001
1329,2022-07-25,2022-07-28,Customer_98,Food,West,Retail,13,255.81,False,3325.53
211,2024-04-01,2024-04-02,Customer_271,Clothing,South,Retail,19,111.47,False,2117.93
1261,2022-07-11,2022-07-14,Customer_359,Electronics,East,Wholesale,6,295.84,False,1775.04
1910,2024-07-28,2024-08-03,Customer_233,Electronics,North,Online,17,156.16,True,2389.248
189,2022-01-02,2022-01-09,Customer_247,Electronics,West,Wholesale,19,216.32,False,4110.08
1950,2024-02-06,2024-02-16,Customer_496,Food,West,Online,5,54.84,True,246.78000000000006
617,2022-02-12,2022-02-21,Customer_242,Clothing,North,Online,11,445.88,False,4904.68
1823,2024-12-15,2024-12-18,Customer_465,Furniture,East,Wholesale,9,419.28,False,3773.5199999999995
1771,2023-08-17,2023-08-20,Customer_35,Electronics,North,Retail,11,144.42,True,1429.758
241,2024-12-08,2024-12-09,Customer_295,Furniture,North,Wholesale,18,397.27,True,6435.773999999999
719,2024-07-08,2024-07-14,Customer_310,Electronics,West,Retail,19,14.14,False,268.66
345,2024-12-06,2024-12-15,Customer_315,Furniture,East,Retail,6,324.75,False,1948.5
1343,2022-03-13,2022-03-21,Customer_287,Electronics,West,Online,18,469.22,True,7601.364000000001
452,2022-06-19,2022-06-25,Customer_344,Clothing,West,Wholesale,18,379.57,True,6149.034000000001
1797,2023-04-27,2023-05-04,Customer_316,Furniture,North,Wholesale,15,276.5,False,4147.5
201,2023-09-20,2023-09-25,Customer_397,Furniture,West,Online,7,6.3,True,39.690000000000005
1911,2023-03-25,2023-03-31,Customer_193,Food,South,Retail,16,463.14,True,6669.216
1052,2022-01-25,2022-01-31,Customer_281,Clothing,North,Retail,12,429.85,False,5158.200000000001
1755,2024-02-09,2024-02-11,Customer_443,Electronics,East,Retail,5,140.18,False,700.9000000000001
653,2022-12-03,2022-12-06,Customer_205,Furniture,West,Online,7,451.19,False,3158.33
1731,2024-09-06,2024-09-09,Customer_85,Food,West,Retail,4,266.91,True,960.8760000000001
1536,2022-11-07,2022-11-11,Customer_409,Electronics,East,Wholesale,16,349.34,True,5030.496
656,2022-01-08,2022-01-15,Customer_447,Furniture,East,Wholesale,15,309.97,False,4649.55
1772,2022-05-14,2022-05-21,Customer_6,Furniture,East,Online,4,304.1,True,1094.7600000000002
1568,2023-12-12,2023-12-13,Customer_217,Furniture,South,Wholesale,1,27.55,True,24.795
68,2024-03-02,2024-03-10,Customer_440,Electronics,South,Online,11,30.41,True,301.059
1146,2023-08-08,2023-08-14,Customer_88,Electronics,South,Retail,5,414.34,True,1864.53
320,2023-09-28,2023-09-29,Customer_45,Electronics,West,Wholesale,2,396.86,False,793.72
1010,2022-06-17,2022-06-25,Customer_376,Electronics,West,Wholesale,2,249.59,True,449.262
895,2024-12-08,2024-12-13,Customer_267,Electronics,South,Online,11,90.04,True,891.3960000000001
1438,2023-08-31,2023-09-05,Customer_211,Electronics,West,Retail,8,163.41,True,1176.552
